time,x,y,uncertainty_normalized
19796263.0,25.87315172302805,-21.61624923527732,0.0173863321542739
19798004.0,26.71348663610181,-21.649913333424188,0.0138140050694346
19800714.0,26.232786069848835,-22.62811948048844,0.0141531601548194
19802408.0,23.633397685390545,-23.450469307091645,0.0154767949134111
19814648.0,23.26457058026702,-24.207456302221026,0.0212250221520662
19832820.0,30.31672244394886,-21.72768614312666,0.0226353760808706
19836350.0,27.095835388137168,-21.194779639890555,0.0130999982357025
19843211.0,12.541521176070493,-24.777188106209557,0.0091833434998989
19847300.0,12.169419540891994,-25.86960940661305,0.0094051472842693
19850991.0,11.809297023831562,-24.016512439239868,0.0109654488041996
19856501.0,10.229118936239836,-22.63832564890064,0.0364732891321182
19857871.0,8.880017011765249,-20.196461018649053,0.0361322611570358
19868913.0,10.420663340840992,-22.816509091764303,0.0657567158341407
19871891.0,12.47621336017485,-27.58334972472468,0.0310822539031505
19876339.0,14.295818888522223,-35.255989469524124,0.0171836465597152
19886886.0,13.63208011691234,-32.80152699528905,0.0438773222267627
19891137.0,13.832613318277753,-38.48842751778794,0.0504759363830089
19895117.0,17.509130389267998,-48.634918747203415,0.0164963547140359
19904911.0,39.64168348902944,-43.40128048629568,0.0087024997919797
19916379.0,30.35356480797109,-46.15501672080036,0.0023263641633093
19919428.0,30.365249686492657,-46.35478124225175,0.0018193874275311
19921601.0,29.30357972421616,-46.41757717720987,0.0046790237538516
19923698.0,32.732088480763466,-43.58784653526851,0.0120526645332574
19931636.0,51.49965514050358,-40.2060136646694,0.0097256582230329
19936346.0,52.245949295266,-39.87398261980033,0.0089698452502489
19940901.0,51.92163038728864,-36.127773279272176,0.0147068295627832
19956314.0,48.10097826668313,-21.557432802799205,0.020178884267807
19958923.0,47.59363341333204,-21.59164243419572,0.0215621143579483
19972747.0,51.46799763482572,-14.857684771883704,0.0265525057911872
19975627.0,52.53321630496303,-14.46217677869521,0.023830808699131
19995114.0,67.95948504128782,-8.59921894788507,0.1955791562795639
20000173.0,68.1514228798949,-5.54464460942139,0.2398929893970489
20004050.0,67.9046316474193,-4.969132320668429,0.2284585386514663
20007970.0,74.41632332861681,-19.90246556352996,0.0463910959661006
20009613.0,76.45947850494815,-23.15330181095807,0.0425794422626495
20012886.0,75.57542226274008,-21.184526505039635,0.0486906170845031
20018617.0,74.14487392631945,-18.123304609096856,0.0595480054616928
20020782.0,74.16064695196208,-17.742283955849217,0.0467609986662864
20026489.0,71.63223272471988,-10.7934512236313,0.040686909109354
20028563.0,71.83426387312201,-11.81352253160196,0.0390223003923893
20032087.0,67.52454096137828,-2.3327327012757806,0.0313153155148029
20033757.0,67.5236716171159,-2.491739385933436,0.0288644041866064
20036181.0,67.33652631739119,-2.577398944536384,0.0252051670104265
20039711.0,68.76579961556031,-3.469082073086,0.0441437177360057
20042667.0,68.20573683450317,-2.1703227562130607,0.0310471355915069
20048344.0,61.33417229408469,-11.864336605484311,0.025152038782835
20052746.0,59.95423316826187,-11.63245968476501,0.0182894617319107
20056840.0,59.85841805602014,-11.329103457130516,0.0135601293295621
20062870.0,53.618996081449616,-14.301735811255377,0.0224303789436817
20065112.0,51.43348243852126,-14.980317756161163,0.0199430920183658
20067057.0,51.78747050581226,-15.044896609388822,0.0225690938532352
20074689.0,46.54286369065312,-16.19049836962511,0.0188102032989263
20076376.0,47.272560057267576,-18.32244592203457,0.0197206288576126
20079448.0,45.74832315841628,-17.94977445646856,0.0161593705415725
20085033.0,35.94811166688152,-18.6047828619444,0.012911707162857
20096345.0,29.496025794853555,-20.91707792620121,0.0123456306755542
20103055.0,27.201781704667443,-20.077119297884344,0.0156508833169937
20109656.0,16.25605756946896,-25.52109314175642,0.0100009785965085
20116302.0,13.824234177041092,-29.59961171298293,0.0135435303673148
20121077.0,13.492012038083526,-24.22337431214108,0.016641292721033
20136382.0,14.732053610298223,-35.57519867662508,0.0157275646924972
20139100.0,17.95831165328995,-44.80034747144493,0.0110482163727283
20143400.0,17.769886857138037,-45.95667564372222,0.0138018568977713
20148977.0,23.153446092655933,-48.6072347411855,0.0036469674669206
20156351.0,31.3035173452678,-46.434895148283815,0.00197404040955
20159320.0,28.51810712136233,-47.29059295277334,0.0016258073737844
20162344.0,32.89260063882932,-45.29246181625903,0.009037809446454
20175144.0,51.93181731877349,-39.32947179339962,0.008734667673707
20183336.0,51.47117185592735,-38.6853343120839,0.0093569606542587
20193113.0,49.23307848873977,-26.24207494240933,0.0178937576711177
20196389.0,48.87076254923272,-26.130475458425988,0.0168664082884788
20211135.0,34.79994417958575,-17.929130900253575,0.0110018718987703
20216358.0,37.510559589696335,-18.44479710767977,0.0154933594167232
20229157.0,25.76074105172621,-21.30736180628385,0.0087820589542388
20236380.0,33.22576456740447,-19.846196157151176,0.0128970677033066
20247181.0,29.763868533005944,-22.26626113423489,0.0198370274156332
